Player,Tm,Pos,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%
Matt Ryan,ATL,QB,407,626,65.0,4581,26,4.2,11,1.8
Tom Brady,TAM,QB,401,610,65.7,4633,40,6.6,12,2.0
Ben Roethlisberger,PIT,QB,399,608,65.6,3803,33,5.4,10,1.6
Justin Herbert,LAC,QB,396,595,66.6,4336,31,5.2,10,1.7
Patrick Mahomes *,KAN,QB,390,588,66.3,4740,38,6.5,6,1.0
Josh Allen *,BUF,QB,396,572,69.2,4544,37,6.5,10,1.7
Kyler Murray *,ARI,QB,375,558,67.2,3971,26,4.7,12,2.2
Russell Wilson *,SEA,QB,384,558,68.8,4212,40,7.2,13,2.3
Jared Goff,LAR,QB,370,552,67.0,3952,20,3.6,13,2.4
Deshaun Watson *,HOU,QB,382,544,70.2,4823,33,6.1,7,1.3
Philip Rivers,IND,QB,369,543,68.0,4169,24,4.4,11,2.0
Matthew Stafford,DET,QB,339,528,64.2,4084,26,4.9,10,1.9
Aaron Rodgers *+,GNB,QB,372,526,70.7,4299,48,9.1,5,1.0
Derek Carr,LVR,QB,348,517,67.3,4103,27,5.2,9,1.7
Kirk Cousins,MIN,QB,349,516,67.6,4265,35,6.8,13,2.5
Teddy Bridgewater,CAR,QB,340,492,69.1,3733,15,3.0,11,2.2
Baker Mayfield,CLE,QB,305,486,62.8,3563,26,5.3,8,1.6
Ryan Tannehill,TEN,QB,315,481,65.5,3819,33,6.9,7,1.5
Daniel Jones,NYG,QB,280,448,62.5,2943,11,2.5,10,2.2
Drew Lock,DEN,QB,254,443,57.3,2933,16,3.6,15,3.4
Carson Wentz,PHI,QB,251,437,57.4,2620,16,3.7,15,3.4
Drew Brees,NOR,QB,275,390,70.5,2942,24,6.2,6,1.5
Lamar Jackson,BAL,QB,242,376,64.4,2757,26,6.9,9,2.4
Cam Newton,NWE,QB,242,368,65.8,2657,8,2.2,10,2.7
Sam Darnold,NYJ,QB,217,364,59.6,2208,9,2.5,11,3.0
