Player,Tm,Pos,Age,Att,Yds,TD,Fmb
Derrick Henry *+,TEN,RB,26,378,2027,17,3
Dalvin Cook*,MIN,RB,25,312,1557,16,5
Josh Jacobs*,LVR,RB,22,273,1065,12,2
David Montgomery,CHI,RB,23,247,1070,8,1
Ezekiel Elliott,DAL,RB,25,244,979,6,6
James Robinson,JAX,RB,22,240,1070,7,3
Kenyan Drake,ARI,RB,26,239,955,10,3
Jonathan Taylor,IND,RB,21,232,1169,11,1
Aaron Jones*,GNB,RB,26,201,1104,9,2
Todd Gurley,ATL,RB,26,195,678,9,2
Ronald Jones II,TAM,RB,23,192,978,7,2
Nick Chubb*,CLE,RB,25,190,1067,12,1
Frank Gore,NYJ,RB,37,187,653,2,1
Clyde Edwards-Helaire,KAN,RB,21,181,803,4,0
James Conner,PIT,RB,25,169,721,6,2
Mike Davis,CAR,RB,27,165,642,6,1
Miles Sanders,PHI,RB,23,164,867,6,4
Devin Singletary,BUF,RB,23,156,687,2,1
David Johnson,HOU,RB,29,147,691,6,2
Chris Carson,SEA,RB,26,141,681,5,1
Darrell Henderson,LAR,RB,23,138,624,5,0
