Player,Tm,Pos,Tgt,Rec,Ctch%,Yds,TD,Y/Tgt,Fmb
Stefon Diggs*+,BUF,WR,166,127,76.5%,1535,8,9.2,0
Davante Adams*+,GNB,WR,149,115,77.2%,1374,18,9.2,1
DeAndre Hopkins*,ARI,WR,160,115,71.9%,1407,6,8.8,3
Allen Robinson,CHI,WR,151,102,67.5%,1250,6,8.3,0
Keenan Allen *,LAC,WR,147,100,68.0%,992,8,6.7,3
Tyler Lockett,SEA,WR,132,100,75.8%,1054,10,8.0,1
JuJu Smith-Schuster,PIT,WR,128,97,75.8%,831,9,6.5,3
Robby Anderson,CAR,WR,136,95,69.9%,1096,3,8.1,1
Amari Cooper,DAL,WR,130,92,70.8%,1114,5,8.6,0
Cooper Kupp,LAR,WR,124,92,74.2%,974,3,7.9,1
Calvin Ridley,ATL,WR,143,90,62.9%,1374,9,9.6,1
Robert Woods,LAR,WR,129,90,69.8%,936,6,7.3,2
Justin Jefferson *,MIN,WR,125,88,70.4%,1400,7,11.2,1
Diontae Johnson,PIT,WR,144,88,61.1%,923,7,6.4,2
Tyreek Hill*+,KAN,WR,135,87,64.4%,1276,15,9.5,1
Terry McLaurin,WAS,WR,134,87,64.9%,1118,4,8.3,1
D.K. Metcalf*,SEA,WR,129,83,64.3%,1303,10,10.1,1
Brandin Cooks,HOU,WR,119,81,68.1%,1150,6,9.7,0
Marvin Jones,DET,WR,115,76,66.1%,978,9,8.5,0
CeeDee Lamb,DAL,WR,111,74,66.7%,935,5,8.4,2
Adam Thielen,MIN,WR,108,74,68.5%,925,14,8.6,0
Jarvis Landry,CLE,WR,101,72,71.3%,840,3,8.3,2
A.J. Brown*,TEN,WR,106,70,66.0%,1075,11,10.1,2
Mike Evans,TAM,WR,109,70,64.2%,1006,13,9.2,0
Tee Higgins,CIN,WR,108,67,62.0%,908,6,8.4,1
D.J. Moore,CAR,WR,118,66,55.9%,1193,4,10.1,0
Sterling Shepard,NYG,WR,90,66,73.3%,656,3,7.3,0
Corey Davis,TEN,WR,92,65,70.7%,984,5,10.7,1
Chris Godwin,TAM,WR,84,65,77.4%,840,7,10.0,1
DeVante Parker,MIA,WR,103,63,61.2%,793,4,7.7,1
Brandon Aiyuk,SFO,WR,96,60,62.5%,748,5,7.8,0
Michael Gallup,DAL,WR,105,59,56.2%,843,5,8.0,0
Marquise Brown,BAL,WR,100,58,58.0%,769,8,7.7,0
Laviska Shenault Jr.,JAX,WR,79,58,73.4%,600,5,7.6,0
T.Y. Hilton,IND,WR,93,56,60.2%,762,5,8.2,0
Larry Fitzgerald,ARI,WR,72,54,75.0%,409,1,5.7,0
DJ Chark,JAX,WR,93,53,57.0%,706,5,7.6,0
Will Fuller,HOU,WR,75,53,70.7%,879,8,11.7,0
Jerry Jeudy,DEN,WR,113,52,46.0%,856,3,7.6,2
Josh Reynolds,LAR,WR,81,52,64.2%,618,2,7.6,2
Tim Patrick,DEN,WR,79,51,64.6%,742,6,9.4,0
Darius Slayton,NYG,WR,96,50,52.1%,751,3,7.8,1
Nelson Agholor,LVR,WR,82,48,58.5%,896,8,10.9,0
Mike Williams,LAC,WR,85,48,56.5%,756,5,8.9,0
Damiere Byrd,NWE,WR,77,47,61.0%,604,1,7.8,3
A.J. Green,CIN,WR,104,47,45.2%,523,2,5.0,0
Zach Pascal,IND,WR,71,44,62.0%,629,5,8.9,0
Gabriel Davis,BUF,WR,62,35,56.5%,599,7,9.7,1
Marquez Valdes-Scantling,GNB,WR,63,33,52.4%,690,6,11.0,1
Jalen Reagor,PHI,WR,54,31,57.4%,396,1,7.3,2
Breshad Perriman,NYJ,WR,60,30,50.0%,505,3,8.4,0
Henry Ruggs III,LVR,WR,43,26,60.5%,452,2,10.5,2
Miles Boykin,BAL,WR,33,19,57.6%,266,4,8.1,0
